a	IN
dedicarse	VB
dedo	NN
deducir	VB
defender	VB
defenderse	VB
defensa	NN
defensor	NN
defensora	NN
definición	NN
definir	VB
definitivamente	RB
degradar	VB
dejar	VB
del	IN
delantal	NN
delantera	NN
delantero	NN
deletrear	VB
delfín	NN
delgada	JJ
delgado	JJ
delicada	JJ
delicado	JJ
delincuente	NN
delinquir	VB
demandar	VB
demás	NN
demasiada	RB
demasiado	RB
democracia	NN
demócrata	NN
democrática	JJ
democrático	JJ
demolir	VB
demonio	NN
dentista	NN
dentro	RB
departamento	NN
depender	VB
deportación	NN
deporte	NN
deportista	NN
deportividad	NN
depositar	VB
depósito	NN
depredador	NN
depredadora	NN
deprimente	JJ
deprimir	VB
deprimirse	VB
derecha	JJ
derechista	JJ
derecho	JJ
dermatóloga	NN
dermatólogo	NN
derramar	VB
derrame	NN
derretir	VB
derrocar	VB
derrota	NN
derrotar	VB
derrumbe	NN
desabrocharse	VB
desactivar	VB
desafiar	VB
desafío	NN
desafortunada	JJ
desafortunadamente	RB
desafortunado	JJ
desaguar	VB
desagüe	NN
desahogar	VB
desahogo	NN
desamarrar	VB
desanimar	VB
desaparecer	VB
desarmar	VB
desarreglada	JJ
desarreglado	JJ
desarrollar	VB
desastre	NN
desayunar	VB
desayuno	NN
descansar	VB
descanso	NN
descapotable	NN
descarga	NN
descargar	VB
descendencia	NN
descender	VB
descendiente	NN
descenso	NN
descifrar	VB
descolgar	VB
desconfiada	JJ
desconfiado	JJ
descongelar	VB
descongestionante	NN
desconsiderada	JJ
desconsiderado	JJ
descorazonada	JJ
descorazonado	JJ
descorazonar	VB
descripción	NN
descubierta	JJ
descubierto	JJ
descubrimiento	NN
descubrir	VB
descuento	NN
descuidada	JJ
descuidado	JJ
desdoblar	VB
desear	VB
desempleo	NN
desenvolver	VB
deseo	NN
desfiladero	NN
desfilar	VB
desfile	NN
deshacer	VB
deshidratación	NN
deshidratar	VB
deshonrosa	JJ
deshonroso	JJ
desierto	NN
designar	VB
desigual	JJ
desilusionar	VB
deslizarse	VB
deslumbar	VB
desnuda	JJ
desnudo	JJ
desobedecer	VB
desobediente	JJ
desodorante	NN
desolador	JJ
desoladora	JJ
desordenada	JJ
desordenado	JJ
despedirse	VB
despegar	VB
despejar	VB
desperdicio	NN
despertador	NN
despertarse	VB
despido	NN
después	RB
destacada	JJ
destacado	JJ
destacar	VB
destapar	VB
deste	JJ
desteñir	VB
destinataria	NN
destinatario	NN
destornillador	NN
destreza	NN
destrozar	VB
destructiva	JJ
destructivo	JJ
destructor	NN
destruir	VB
desvelación	NN
desvelar	VB
desventaja	NN
detalle	NN
detective	NN
detención	NN
detener	VB
determinar	VB
determinismo	NN
detestar	VB
detonar	VB
deuda	NN
devoción	NN
devolver	VB
devorar	VB
devota	JJ
devoto	JJ
día	NN
diabetes	NN
diablo	NN
diácona	NN
diácono	NN
diagrama	NN
diamante	NN
diámetro	NN
diapositiva	NN
diaria	JJ
diariamente	RB
diario	JJ
diarrea	NN
dibujante	NN
dibujar	VB
dibujo	NN
diccionario	NN
dicho	NN
diciembre	NN
dictador	NN
dictadora	NN
dictadura	NN
diecinueve	JJ
dieciocho	JJ
dieciséis	JJ
diecisiete	JJ
diente	NN
dientes	NNS
diestra	JJ
diestro	JJ
dieta	NN
diez	JJ
diezmo	NN
diferencia	NN
diferenciar	VB
diferente	JJ
diferir	VB
difícil	JJ
dificilísima	JJ
dificilísimo	JJ
dificultad	NN
dificultar	VB
digital	JJ
dimensión	NN
dinosaurio	NN
dios	NN
diplomática	NN
diplomático	NN
diputada	NN
diputado	NN
dirección	NN
direccional	NN
directa	JJ
directo	JJ
director	NN
directora	NN
dirigir	VB
discípula	NN
discípulo	NN
disco	NN
discrepar	VB
disculpar	VB
discurso	NN
discusión	NN
discutir	VB
diseñar	VB
diseño	NN
disfraz	NN
disfrazar	VB
disfrutar	VB
disinfectante	NN
disinfectar	VB
dislocar	VB
disminuir	VB
disparador	NN
disparar	VB
disparo	NN
disponible	JJ
disprosio	NN
distancia	NN
distracción	NN
distribuir	VB
distrito	NN
diversa	JJ
diversidad	NN
diversificar	VB
diversión	NN
diverso	JJ
divertida	JJ
divertido	JJ
divertirse	VB
dividir	VB
división	NN
divorciarse	VB
divorcio	NN
dnorte	JJ
doblar	VB
doble	JJ
doce	JJ
doceava	JJ
doceavo	JJ
docena	NN
doctrina	NN
documental	NN
documentar	VB
documento	NN
doeste	JJ
dólar	NN
doler	VB
dolor	NN
domador	NN
domadora	NN
domestica	JJ
domestico	JJ
dominante	JJ
dominar	VB
domingo	NN
dominicana	JJ
dominicano	JJ
dominio	NN
dominó	NN
donación	NN
donar	VB
dónde	WRB
dormilón	NN
dormir	VB
dormitorio	NN
dorsal	JJ
dos	JJ
doscientas	JJ
doscientos	JJ
dragón	NN
drama	NN
dramaticamente	RB
dramaturga	NN
dramaturgo	NN
driblar	VB
droga	NN
ducharse	VB
duda	NN
dudar	VB
dudosa	JJ
dudoso	JJ
duelo	NN
dulce	NN
dulces	NNS
dúo	NN
duodécima	JJ
duodécimo	JJ
duplicar	VB
duplicarse	VB
duque	NN
duquesa	NN
dura	JJ
duradera	JJ
duradero	JJ
durante	IN
durar	VB
durazno	NN
duro	JJ
DVD	NN
echar	VB
eclipsar	VB
eclipse	NN
eco	NN
ecológica	JJ
ecológico	JJ
economía	NN
económica	JJ
económico	JJ
ecosistema	NN
ecuación	NN
Ecuador	NNP
ecuatoriana	JJ
ecuatoriano	JJ
edición	NN
edificio	NN
edredón	NN
educación	NN
educada	JJ
educado	JJ
educativa	JJ
educativo	JJ
efecto	NN
eficaz	JJ
eficazmente	RB
eficiencia	NN
eficiente	JJ
eje	NN
ejecución	NN
ejecutiva	NN
ejecutivo	NN
ejemplar	NN
ejemplo	NN
ejercer	VB
ejercicio	NN
ejército	NN
el	DT
él	PRP
elástica	JJ
elástico	JJ
elección	NN
electoral	JJ
eléctrica	JJ
electricidad	NN
electricista	NN
eléctrico	JJ
electrolito	NN
electrón	NN
elefante	NN
elegante	JJ
elegir	VB
elemento	NN
elevada	JJ
elevado	JJ
elevar	VB
elfo	NN
eliminar	VB
elipse	NN
elipsis	NN
ella	PRP
ellas	PRP
ellos	PRP
elote	NN
embajada	NN
embajador	NN
embajadora	NN
embarazada	JJ
embarazosa	JJ
embarazoso	JJ
embarcar	VB
embellecer	VB
émbolo	NN
embrague	NN
embrujo	NN
emergencia	NN
emitir	VB
emoción	NN
emocionada	JJ
emocionado	JJ
emocionante	JJ
emocionar	VB
emocionarse	VB
empanada	NN
empapelar	VB
empatar	VB
empate	NN
empeñar	VB
empeñarse	VB
empeño	NN
emperador	NN
emperadora	NN
empezar	VB
empleada	NN
empleado	NN
emplear	VB
empresa	NN
empujar	VB
en	IN
en adobo	JJ
en blanco	JJ
enagua	NN
enamorarse	VB
enana	NN
enano	NN
encadenar	VB
encaje	NN
encantada	JJ
encantado	JJ
encantar	VB
encanto	NN
encarcelar	VB
encargarse	VB
encarte	NN
encendedor	NN
encender	VB
encerrar	VB
encestar	VB
enchilada	NN
enchufe	NN
enciclopedia	NN
encima	IN
enclavar	VB
encogida	JJ
encogido	JJ
encontrar	VB
encontrarse	VB
encuentro	NN
encuesta	NN
encurtir	VB
eneldo	NN
enemigo	NN
energía	NN
enero	NN
enfadar	VB
enferma	JJ
enfermar	VB
enfermarse	VB
enfermedad	NN
enfermera	NN
enfermería	NN
enfermero	NN
enfermo	JJ
enfocar	VB
enfrentamiento	NN
enfrentar	VB
enfurecer	VB
engañar	VB
enganchar	VB
engranaje	NN
engrandecer	VB
engrapar	VB
enigma	NN
enjaular	VB
enjuagar	VB
enlace	NN
enlazar	VB
enloquecer	VB
enmendar	VB
enmienda	NN
enojada	JJ
enojado	JJ
enojarse	VB
enorme	JJ
ensalada	NN
ensayista	NN
ensayo	NN
enseñar	VB
ensillar	VB
entablillar	VB
entender	VB
entera	JJ
enterar	VB
enterarse	VB
entero	JJ
enterrar	VB
entonces	RB
entrada	NN
entrar en	VB
entre	IN
entrecruzar	VB
entregar	VB
entrenador	NN
entrenadora	NN
entrenamiento	NN
entrenar	VB
entretanto	RB
entretener	VB
entretenida	JJ
entretenido	JJ
entrevenir	VB
entrevista	NN
entrevistar	VB
entristecer	VB
entristecerse	VB
entumecer	VB
entumecida	JJ
entumecido	JJ
entusiasmada	JJ
entusiasmado	JJ
entusiasmar	VB
entusiasmo	NN
enumerar	VB
envasar	VB
envase	NN
enviar	VB
envidia	NN
envidiar	VB
envidiosa	JJ
envidioso	JJ
envío	NN
envolver	VB
epazote	NN
epifanía	NN
episodio	NN
época	NN
equilibrada	JJ
equilibrado	JJ
equilibrar	VB
equilibrio	NN
equipaje	NN
equipo	NN
equitación	NN
equívoca	JJ
equivocada	JJ
equivocado	JJ
equivocarse	VB
equívoco	JJ
erbio	NN
ergonómica	JJ
ergonómico	JJ
erigir	VB
erosión	NN
error	NN
erudita	NN
erudito	NN
erupción	NN
esa	JJ
escala	NN
escalar	VB
escalera	NN
escaleras	NNS
escalfar	VB
escalofrío	NN
escalofríos	NNS
escalón	NN
escalope	NN
escandio	NN
escáner	NN
escaparse	VB
escape	NN
escarabajo	NN
escarlata	JJ
escarpada	JJ
escarpado	JJ
escasez	NN
escena	NN
escenario	NN
esclava	NN
esclavizar	VB
esclavo	NN
esclusa	NN
escoba	NN
escocés	JJ
escocesa	JJ
escoger	VB
escolar	JJ
escoliosis	NN
esconder	VB
esconderse	VB
escondite	NN
escorpión	NN
escribana	NN
escribano	NN
escribir	VB
escribirse	VB
escrito	NN
escritor	NN
escritora	NN
escritorio	NN
escritura	NN
escrutinio	NN
escuchar	VB
escudero	NN
escudo	NN
escudriñar	VB
escuela	NN
escueprimaria	NN
escuesecundaria	NN
escultor	NN
escultora	NN
escultura	NN
ese	JJ
esencial	JJ
esencialmente	RB
esfera	NN
esfínter	NN
esforzarse	VB
esgrima	NN
eslabón	NN
eslalom	NN
esmaltar	VB
esmalte	NN
esmeralda	NN
esmoquin	NN
esotérica	JJ
esotérico	JJ
espacio	NN
espaciosa	JJ
espacioso	JJ
espada	NN
espagueti	NN
espaguetis	NN
espalda	NN
España	NNP
español	JJ
española	JJ
espantosa	JJ
espantoso	JJ
esparcir	VB
espárrago	NN
espátula	NN
especial	JJ
especialista	NN
especialmente	RB
especie	NN
específicamente	RB
espécimen	NN
espectador	NN
espectadora	NN
espectro	NN
especular	VB
espejo	NN
esperanza	NN
esperanzadamente	RB
esperanzado	JJ
esperar	VB
espía	NN
espiar	VB
espina	NN
espinaca	NN
espinacas	NN
espinilla	NN
espiral	NN
espíritu	NN
espiritual	JJ
esplendor	NN
espliego	NN
esponja	NN
esponjosa	JJ
esponjoso	JJ
espontánea	JJ
espontáneo	JJ
esposa	NN
esposar	VB
esposas	NNS
esposo	NN
esprintar	VB
espuela	NN
espuma	NN
esqueleto	NN
esquema	NN
esquí	NN
esquiar	VB
esquina	NN
estable	JJ
establecer	VB
establecerse	VB
establecimiento	NN
establo	NN
estación	NN
estacionamiento	NN
estacionar	VB
estadio	NN
estado	NN
estadounidense	JJ
estafa	NN
estafar	VB
estallar	VB
estaño	NN
estanque	NN
estante	NN
estantería	NN
estar	VB
estas	JJ
estatal	JJ
estática	JJ
estático	JJ
estatua	NN
este	NN
estelar	JJ
estereotipo	NN
esterilizar	VB
esternón	NN
estética	JJ
estético	JJ
estiércol	NN
estilo	NN
estima	NN
estimar	VB
estimular	VB
estómago	NN
estorbar	VB
estorbo	NN
estornudar	VB
estornudo	NN
estos	JJ
estrafalaria	JJ
estrafalario	JJ
estrategia	NN
estrecha	JJ
estrecho	JJ
estrella	NN
estrés	NN
estribo	NN
estridente	JJ
estrike	NN
estroncio	NN
estructura	NN
estuco	NN
estudiantado	NN
estudiante	NN
estudiar	VB
estudio	NN
estufa	NN
estupenda	JJ
estupendo	JJ
estupidez	NN
estupor	NN
etapa	NN
ética	NN
etiqueta	NN
étnica	JJ
étnico	JJ
europea	JJ
Europeo	NNP
europeo	JJ
Europeo	NNP
europio	NN
evaluar	VB
evangélica	JJ
evangélico	JJ
evangelio	NN
evangelista	NN
evento	NN
evidencia	NN
evitar	VB
evolucionar	VB
exagerada	JJ
exagerado	JJ
examen	NN
excavar	VB
excedente	NN
excelente	JJ
excepción	NN
excepcional	JJ
exceso	NN
excluidos	JJ
excluir	VB
exclusiva	JJ
exclusivo	JJ
excursión	NN
exhortar	VB
exhosto	NN
exigencia	NN
exigir	VB
exilio	NN
existir	VB
exitosa	JJ
exitoso	JJ
expectante	JJ
expectativa	NN
expedir	VB
experiencia	NN
experimentación	NN
experimentar	VB
experimento	NN
expirar	VB
explicar	VB
explorador	NN
exploradora	NN
explorar	VB
explosión	NN
explosiva	JJ
explosivo	JJ
exportación	NN
exportar	VB
exposición	NN
expositor	NN
expositora	NN
expresar	VB
expulsar	VB
extender	VB
extensa	JJ
extensión	NN
extenso	JJ
exterior	JJ
exterminar	VB
extinción	NN
extinguir	VB
extraer	VB
extraña	JJ
extranjera	JJ
extranjero	JJ
extraño	JJ
extraordinaria	JJ
extraordinario	JJ
extraterrestre	NN
extravagante	JJ
extremo	NN
eyectarse	VB
fábrica	NN
fabricación	NN
fabricar	VB
fabulosa	JJ
fabuloso	JJ
facción	NN
fácil	JJ
fácilmente	JJ
factible	JJ
factor	NN
facturar	VB
fagot	NN
fahrenheit	JJ
faisán	NN
falda	NN
fallar	VB
fallo	NN
falsa	JJ
falso	JJ
falta	NN
faltar	VB
familia	NN
familiar	JJ
famosa	JJ
famoso	JJ
fantasía	NN
fantasma	NN
fantasmagórica	JJ
fantasmagórico	JJ
fantástica	JJ
fantástico	JJ
farmacia	NN
faro	NN
farola	NN
fascinante	JJ
fascinar	VB
fase	NN
faul	NN
fauna	NN
favor	NN
favorecer	VB
favorita	JJ
favorito	JJ
fax	NN
faz	NN
fe	NN
fea	JJ
febrero	NN
fecha	NN
fécula	NN
felicidad	NN
felicidades	NNS
felicitar	VB
femenina	JJ
femenino	JJ
fenómeno	NN
feo	JJ
feria	NN
fermentar	VB
ferretería	NN
ferrocarril	NN
fertilizante	NN
ferviente	JJ
fervientemente	RB
festiva	JJ
festivo	JJ
fetiche	NN
fibra	NN
ficción	NN
ficha	NN
ficticia	JJ
ficticio	JJ
fidedigno	JJ
fidelidad	NN
fideo	NN
fiebre	NN
fiel	JJ
fiera	JJ
fiero	JJ
fiesta	NN
figura	NN
figurita	NN
fija	JJ
fijador	NN
fijarse	VB
fijo	JJ
fila	NN
filmadora	NN
fin	NN
fina	JJ
final	NN
finalmente	RB
financiera	JJ
financiero	JJ
finca	NN
fingir	VB
fino	JJ
firma	NN
firmar	VB
firme	JJ
física	NN
flaca	JJ
flaco	JJ
flamenco	NN
flan	NN
flaquear	VB
flauta	NN
flautín	NN
flautista	NN
flecha	NN
flexible	JJ
floja	JJ
flojo	JJ
flor	NN
flora	NN
floreada	JJ
floreado	JJ
florecer	VB
florero	NN
florescente	JJ
floristería	NN
flota	NN
flotar	VB
fluir	VB
flujo	NN
fluor	NN
fluorescente	JJ
foca	NN
foco	NN
fogata	NN
fogosa	JJ
fogoso	JJ
follaje	NN
folleto	NN
fondo	NN
fondue	NN
forma	NN
formal	JJ
formar	VB
formatear	VB
formato	NN
formón	NN
fórmula	NN
formulario	NN
fornida	JJ
fornido	JJ
forraje	NN
forrajear	VB
fortalecerse	VB
fosforera	NN
fósforo	NN
fosíl	NN
foto	NN
fotografía	NN
fotografiar	VB
fracasar	VB
fracaso	NN
fracción	NN
fracturar	VB
frágil	JJ
fragmento	NN
fraile	NN
frambuesa	NN
francamente	RB
francés	JJ
francesa	JJ
Francia	NNP
francio	NN
francotirador	NN
francotiradora	NN
franja	NN
franquicia	NN
frase	NN
fraternidad	NN
frecuentemente	RB
fregadero	NN
fregar	VB
fregona	NN
freír	VB
frenar	VB
freno	NN
frente	NN
fresa	NN
fresca	JJ
fresco	JJ
fría	JJ
fricción	NN
frijol	NN
frijoles	NNS
frío	JJ
frisbee	NN
frita	JJ
frito	JJ
frontal	JJ
frontera	NN
frotar	VB
fruncir	VB
frustrante	JJ
frustrar	VB
fruta	NN
frutería	NN
fuego	NN
fuente	NN
fuera	RB
fuerte	JJ
fuerza	NN
fugarse	VB
fumar	VB
funámbula	NN
funámbulo	NN
funcionar	VB
fundamental	JJ
fundamentalista	JJ
fundamentalmente	RB
fundar	VB
fúnebre	JJ
funeral	NN
funk	NN
furiosa	JJ
furioso	JJ
fusil	NN
fusilar	VB
fusión	NN
fusta	NN
fútbol	NN
futuro	NN
gabinete	NN
gacela	NN
gadolinio	NN
gafas	NNS
gaita	NN
galáctica	JJ
galáctico	JJ
galán	NN
galardón	NN
galardonar	VB
galaxia	NN
galería	NN
galio	NN
galleta	NN
gallina	NN
gallo	NN
gana	NN
ganadería	NN
ganado	NN
ganador	NN
ganadora	NN
ganancia	NN
ganar	VB
ganarse	VB
gancho	NN
ganga	NN
gángster	NN
gansa	NN
ganso	NN
garabatos	NNS
garaje	NN
garantizar	VB
garganta	NN
garrapata	NN
garrapatear	VB
garrobo	NN
garrocha	NN
gaseosa	NN
gasolina	NN
gasolinera	NN
gastar	VB
gatillo	NN
gatita	NN
gatito	NN
gato	NN
gazpacho	NN
géiser	NN
gel	NN
gelatina	NN
gema	NN
gemelo	NN
gemido	NN
géminis	NN
gemir	VB
gene	NN
generación	NN
general	NN
generalísimo	NN
generalmente	JJ
género	NN
generosa	JJ
generoso	JJ
genética	JJ
genético	JJ
genia	NN
genio	NN
genocidio	NN
gente	NN
geografía	NN
geóloga	NN
geólogo	NN
geometría	NN
geométrica	JJ
geométrico	JJ
gerente	NN
germanio	NN
germen	NN
gestar	VB
gesticular	VB
gesto	NN
gestor	NN
gestora	NN
ghetto	NN
gigante	JJ
gigantesca	JJ
gigantesco	JJ
gimnasia	NN
gimnasio	NN
gimotear	VB
ginecóloga	NN
ginecólogo	NN
girar	VB
girasol	NN
glaciar	NN
globo	NN
globo ocular	NN
glotón	NN
glotona	NN
gobernador	NN
gobernadora	NN
gobernante	NN
gobernar	VB
gobierno	NN
golf	NN
golfo	NN
golondrina	NN
golpe	NN
golpear	VB
golpeteo	NN
goma	NN
googlear	VB
gorda	JJ
gordo	JJ
gorila	NN
gorra	NN
gorro	NN
gota	NN
gótica	JJ
gótico	JJ
gozar	VB
gozo	NN
gozosa	JJ
gozoso	JJ
grabado	NN
grabadora	NN
grabar	VB
gracia	NN
graciosa	JJ
gracioso	JJ
graduación	NN
graduarse	VB
graffiti	NN
gráfica	JJ
gráfico	JJ
grafito	NN
gramática	NN
gramatical	JJ
gramo	NN
granate	NN
grande	JJ
granero	NN
granito	NN
granizar	VB
granizo	NN
granja	NN
granjera	NN
granjero	NN
grano	NN
grapa	NN
grapadora	NN
grapar	VB
grasa	NN
grasosa	JJ
grasoso	JJ
gravedad	NN
gravemente	RB
graznar	VB
graznido	NN
grieta	NN
grillo	NN
gringa	NN
gringo	NN
gripe	NN
gris	JJ
gritar	VB
grito	NN
gruñido	NN
gruñir	VB
grupo	NN
guacamole	NN
guanábana	NN
guante	NN
guapa	JJ
guapo	JJ
guaracha	NN
guaraní	JJ
guardabarros	NN
guardabosque	NN
guardameta	NN
guardapelo	NN
guardar	VB
guardarropa	NN
guardería	NN
guardia	NN
guardián	NN
guardiana	NN
Guatemala	NNP
guatemalteca	JJ
guatemalteco	JJ
guayaba	NN
guerra	NN
guerrera	NN
guerrero	NN
guía	NN
guiar	VB
guijarro	NN
guión	NN
guionista	NN
guirnalda	NN
güiro	NN
guisante	NN
guitarra	NN
guitarrista	NN
gusano	NN
gustar	VB
ha	VB
habanera	NN
habilidad	NN
habitación	NN
habitante	NN
habitual	JJ
hablante	NN
hablar	VB
hablarse	VB
hacer	VB
hacerse	VB
hacha	NN
hacienda	NN
hafnio	NN
halcón	NN
hallar	VB
halterofilia	NN
hambre	NN
hambruna	NN
hamburguesa	NN
hardware	NN
harina	NN
harta	JJ
harto	JJ
hasta	IN
hazaña	NN
hebilla	NN
hecha	JJ
hechicería	NN
hechizar	VB
hechizo	NN
hecho	JJ
heder	VB
heladería	NN
helar	VB
helio	NN
hemisferio	NN
heptatlón	NN
heredar	VB
heredera	NN
heredero	NN
hereje	NN
herética	JJ
herético	JJ
herida	NN
herir	VB
hermana	NN
hermanastra	NN
hermanastro	NN
hermandad	NN
hermano	NN
hermanos	NNS
héroe	NN
heroica	JJ
heroico	JJ
heroína	NN
herradura	NN
herramienta	NN
herrar	VB
hervir	VB
hexágono	NN
hidrante	NN
hidratación	NN
hidratar	VB
hidráulica	JJ
hidráulico	JJ
hidrógeno	NN
hierba	NN
hierro	NN
hígado	NN
higiene	NN
higiénica	JJ
higiénico	JJ
hija	NN
hijastra	NN
hijastro	NN
hijo	NN
hijos	NNS
hilar	VB
hilo	NN
hilo dental	NN
himnario	NN
himno	NN
hinchable	JJ
hinchada	JJ
hinchado	JJ
hincharse	VB
hipar	VB
hiperactiva	JJ
hiperactivo	JJ
hipérbola	NN
hipérbole	NN
hipnotizar	VB
hipo	NN
hipócrita	NN
hipopótamo	NN
hipotética	JJ
hipotético	JJ
hispana	JJ
hispánica	JJ
hispánico	JJ
hispano	JJ
hispanohablante	NN
histérica	JJ
histérico	JJ
historia	NN
historiador	NN
historiadora	NN
histórica	JJ
histórico	JJ
hocico	NN
hockey	NN
hogar	NN
hoja	NN
Holanda	NNP
holandés	JJ
holgazán	JJ
holgazana	JJ
holmio	NN
hombre	NN
hombrera	NN
hombro	NN
homenaje	NN
homenajear	VB
homosexual	JJ
Honduras	NNP
hondureña	JJ
hondureño	JJ
honesta	JJ
honesto	JJ
hongo	NN
hongos	NN
honor	NN
honorable	JJ
honorar	VB
honrada	JJ
honradez	NN
honrado	JJ
hora	NN
horario	NN
horizonte	NN
hormiga	NN
horno	NN
horóscopo	NN
horquilla	NN
horrible	JJ
horror	NN
hospital	NN
hospitalidad	NN
hotel	NN
hoy	RB
hoyo	NN
huella	NN
huérfana	NN
huérfano	NN
hueso	NN
huesuda	JJ
huesudo	JJ
huevo	NN
huir	VB
hule	NN
Hulk	NNP
humana	JJ
humanidad	NN
humano	JJ
húmeda	JJ
húmedo	JJ
humidificador	NN
humildad	NN
humilde	JJ
humillar	VB
humo	NN
hundir	VB
huracán	NN
hurón	NN
ícono	NN
ida	NN
idea	NN
idealista	JJ
identificación	NN
idioma	NN
idiomática	JJ
idiomático	JJ
idiota	NN
iglesia	NN
iglú	NN
ignorar	VB
igualmente	RB
iguana	NN
iluminar	VB
ilustrar	VB
imagen	NN
imaginación	NN
imaginativa	JJ
imaginativo	JJ
imán	NN
imbécil	NN
imitar	VB
impacientarse	VB
impaciente	JJ
impacto	NN
impar	JJ
imparcial	JJ
impedir	VB
impenetrable	JJ
imperdible	NN
imperio	NN
impermeable	NN
impersonal	JJ
impersonar	VB
impetuosa	JJ
impetuoso	JJ
implicar	VB
implicarse	VB
implorar	VB
imponente	JJ
imponer	VB
importación	NN
importante	JJ
importar	VB
imposible	JJ
impotente	JJ
impregnable	JJ
impresión	NN
impresionante	JJ
impresionismo	NN
impresionista	JJ
impresora	NN
imprevisible	JJ
imprimir	VB
improbable	JJ
impudencia	NN
impuestos	NNS
impulsar	VB
impulso	NN
inadecuada	JJ
inadecuado	JJ
inalámbrica	JJ
inalámbrico	JJ
inanimada	JJ
inanimado	JJ
inapropiada	JJ
inapropiado	JJ
incansable	JJ
incapacitada	JJ
incapacitado	JJ
incapacitar	VB
incapaz	JJ
incendio	NN
incesante	JJ
incitar	VB
inclinación	NN
inclinada	JJ
inclinado	JJ
inclinar	VB
inclinarse	VB
incluir	VB
incluso	RB
incómoda	JJ
incómodo	JJ
incomprensible	JJ
incomprensiva	JJ
incomprensivo	JJ
inconsciente	JJ
inconsistente	JJ
inconstante	JJ
inconstitucional	JJ
incorrecta	JJ
incorrecto	JJ
increíble	JJ
incrementar	VB
incremento	NN
incubadora	NN
incursionar	VB
independiente	NN
indescriptible	JJ
indeseable	JJ
India	NNP
indicar	VB
indicativa	JJ
indicativo	JJ
índice	NN
indígena	JJ
indigente	JJ
indignada	JJ
indignado	JJ
indio	NN
indirecta	NN
indizar	VB
indolora	JJ
indoloro	JJ
Indonesia	NNP
indudablemente	RB
indulgencia	NN
industria	NN
industrial	JJ
inexperta	JJ
inexperto	JJ
inexplicable	JJ
infanta	NN
infante	NN
infantería	NN
infantil	JJ
infarto	NN
infección	NN
infectar	VB
infierno	NN
infinitivo	NN
inflación	NN
inflamarse	VB
infligir	VB
influencia	NN
influir	VB
información	NN
informal	JJ
informativa	JJ
informativo	JJ
informe	NN
infrarroja	JJ
infrarrojo	JJ
infundir	VB
ingeniera	NN
ingeniero	NN
ingenua	JJ
ingenuo	JJ
Inglaterra	NNP
inglés	JJ
inglesa	JJ
ingrediente	NN
ingresar	VB
ingreso	NN
inhumana	JJ
inhumano	JJ
iniciación	NN
injusta	JJ
injusticia	NN
injusto	JJ
inmediata	JJ
inmediato	JJ
inmensa	JJ
inmenso	JJ
inmigración	NN
inmigrante	NN
inmigrar	VB
inmoble	JJ
inmóvil	JJ
inmunidad	NN
inocente	JJ
inodoro	NN
inolvidable	JJ
inquieta	JJ
inquietar	VB
inquieto	JJ
inquietud	NN
inscribirse	VB
insecticida	NN
insecto	NN
inseguridad	NN
insensata	NN
insensato	NN
insertar	VB
insignia	NN
insinuar	VB
insípida	JJ
insípido	JJ
inspección	NN
inspiración	NN
inspirar	VB
instalación	NN
instalar	VB
instantánea	JJ
instantáneo	JJ
instante	NN
instar	VB
institución	NN
instrumento	NN
insulina	NN
insultar	VB
insuperable	JJ
integrante	JJ
integridad	NN
intelectual	JJ
inteligente	JJ
intención	NN
intentar	VB
intento	NN
interactiva	JJ
interactivo	JJ
interactuar	VB
interamericana	JJ
interamericano	JJ
intercambiar	VB
intercambio	NN
interceptar	VB
interesante	JJ
interesar	VB
interferir	VB
intergaláctica	JJ
intergaláctico	JJ
interior	JJ
intermedio	NN
intermisión	NN
intermitentes	NNS
interna	NN
internacional	JJ
Internet	NN
internista	NN
interno	NN
interpretación	NN
interpretar	VB
intérprete	NN
interrelacionar	VB
interruptor	NN
intersecarse	VB
intervención	NN
intervenir	VB
íntima	JJ
intimidad	NN
íntimo	JJ
intrépida	JJ
intrépido	JJ
intriga	NN
introducir	VB
inundación	NN
inusual	JJ
invencible	JJ
inventar	VB
inventariar	VB
invento	NN
inversión	NN
inversionista	NN
invertir	VB
investigación	NN
investigar	VB
invierno	NN
invitación	NN
invitada	NN
invitado	NN
invitar	VB
inyección	NN
iodo	NN
iPod	NNP
ir	VB
Irak	NNP
Irán	NNP
Iraq	NNP
iridio	NN
iris	NN
Irlanda	NNP
irlandés	JJ
irlandesa	JJ
ironía	NN
irracional	JJ
irritante	JJ
irrompible	JJ
irse	VB
isla	NN
Islam	NNP
Israel	NNP
Italia	NNP
italiana	JJ
italiano	JJ
iterbio	NN
itrio	NN
izquierda	JJ
izquierdista	JJ
izquierdo	JJ
jabalí	NN
jabalina	NN
jabón	NN
jactarse	VB
jade	NN
jaguar	NN
jalar	VB
jalea	NN
jamás	RB
jamón	NN
Januká	NN
Japón	NNP
japonés	JJ
jarabe	NN
jardín	NN
jardinería	NN
jardinero	NN
jarrón	NN
jaspe	NN
jaula	NN
jazz	NN
jeans	NN
jefa	NN
jefe	NN
jengibre	NN
jeringa	NN
jeroglíficos	NN
jersey	NN
Jesucristo	NNP
jesuita	NN
Jesús	NNP
jícama	NN
jinete	NN
jirafa	NN
jít	NN
jitomate	NN
jonrón	NN
José	NNP
joven	JJ
jóvenes	NNS
joya	NN
joyas	NNS
joyera	NN
joyería	NN
joyero	NN
jubilarse	VB
jubilosa	JJ
jubiloso	JJ
